PRODUCT ID;PRODUCT NAME;LEGAL PRODUCT GROUP;BLOOMBERG VENDOR CODE;REUTERS VENDOR CODE
BASE;OPT E ON BASF;SINGLE STOCK OPTIONS;BAS GR Equity;0#BASE*.EX
BASG;FUT ON BASF AG;SINGLE STOCK FUTURES;BASG=A GR Equity;0#BASF2:
BAW1;1ST FRIDAY OPT ON BAYER;SINGLE STOCK OPTIONS;BAYN GR Equity;0#BAYGn1W*.EX
BAW2;2ND FRIDAY OPT ON BAYER    ;SINGLE STOCK OPTIONS;BAYN GR Equity;0#BAYGn2W*.EX
BAW4;4TH FRIDAY OPT ON BAYER;SINGLE STOCK OPTIONS;BAYN GR Equity;0#BAYGn4W*.EX
BAW5;5TH FRIDAY OPT ON BAYER;SINGLE STOCK OPTIONS;BAYN GR Equity;0#BAYGn5W*.EX
BAXG;FUT ON BAXTER INTL. INC.;SINGLE STOCK FUTURES;BAXG=A GR Equity;0#BAXF2:
BAY;OPT ON BAYER AG;SINGLE STOCK OPTIONS;BAYN GY Equity;0#BAYGn*.EX
BAYE;OPT E ON BAYER;SINGLE STOCK OPTIONS;BAYN GR Equity;0#BAYE*.EX
BAYF;FUT ON BAYER AG;SINGLE STOCK FUTURES;BAY=A GR Equity;0#BAYG:
BAYG;FUT ON BAYER AG;SINGLE STOCK FUTURES;BAYG=A GR Equity;0#BAYGn2:
BBL;OPTION ON BARCLAYS;SINGLE STOCK OPTIONS;BARC LN Equity;0#BARC*.EX
BBV1;1ST FRIDAY OPT ON BCO.BIL.;SINGLE STOCK OPTIONS;BOY GR Equity;0#BBVA1W*.EX
BBV2;2ND FRIDAY OPT ON BCO.BIL.;SINGLE STOCK OPTIONS;BOY GR Equity;0#BBVA2W*.EX
BBV4;4TH FRIDAY OPT ON BCO.BIL.;SINGLE STOCK OPTIONS;BOY GR Equity;0#BBVA4W*.EX
BBV5;5TH FRIDAY OPT ON BCO.BIL.;SINGLE STOCK OPTIONS;BOY GR Equity;0#BBVA5W*.EX
BBVD;OPT ON BCO BILBAO VIZC.ARGENT.;SINGLE STOCK OPTIONS;BBVA SM Equity;0#BBVA*.EX
BBVG;FUT ON BANCO BILBAO VIZ. ARG.;SINGLE STOCK FUTURES;BBVG=A GR Equity;0#BBVF2:
BBVP;FUT PHY ON BANCO BILBAO VIZCA.;SINGLE STOCK FUTURES;BBVP=A GR Equity;0#BBVP:
BC8;OPT ON BECHTLE AG;SINGLE STOCK OPTIONS;BC8 GR Equity;0#BC8G*.EX
BC8H;FUT ON BECHTLE AG;SINGLE STOCK FUTURES;BC8H=A GR Equity;0#BC8G3:
BCBF;FUT ON BARRY CALLEBAUT;SINGLE STOCK FUTURES;BCBF=A GR Equity;0#BARN:
BCEF;FUT ON BCE INC;SINGLE STOCK FUTURES;BCEF=A GR Equity;0#BCEF:
BCOF;FUT ON BOEING CO.;SINGLE STOCK FUTURES;BCOF=A GR Equity;0#BCOF:
